co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
826.38,579.43,"{'lat': None, 'lon': None}","{'rh': 46.9, 'temp': 25.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",3.77,11.53,19.04,10.14,10.41,10.21,749621771,46.9,MOD-00629,25.1,2026-08-08T00:37:24,2026-08-07T17:37:24,https://api.quant-aq.com/v1/devices/MOD-00629/data/749621561
828.43,577.98,"{'lat': None, 'lon': None}","{'rh': 46.9, 'temp': 25.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",3.77,11.83,17.89,10.35,10.42,10.38,749621769,46.9,MOD-00629,25.1,2026-08-08T00:36:24,2026-08-07T17:36:24,https://api.quant-aq.com/v1/devices/MOD-00629/data/749621558
831.72,584.49,"{'lat': None, 'lon': None}","{'rh': 46.9, 'temp': 25.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",3.76,11.83,17.6,9.98,10.41,9.99,749621770,46.9,MOD-00629,25.1,2026-08-08T00:35:24,2026-08-07T17:35:24,https://api.quant-aq.com/v1/devices/MOD-00629/data/749621560
836.02,577.14,"{'lat': None, 'lon': None}","{'rh': 47.2, 'temp': 25.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",3.77,11.68,17.21,9.91,10.5,9.93,749621768,47.2,MOD-00629,25.1,2026-08-08T00:34:24,2026-08-07T17:34:24,https://api.quant-aq.com/v1/devices/MOD-00629/data/749621559
831.84,584.01,"{'lat': None, 'lon': None}","{'rh': 47.3, 'temp': 25.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",3.76,12.09,17.46,9.21,9.23,9.23,749619452,47.3,MOD-00629,25.1,2026-08-08T00:33:24,2026-08-07T17:33:24,https://api.quant-aq.com/v1/devices/MOD-00629/data/749619242
835.13,597.13,"{'lat': None, 'lon': None}","{'rh': 47.3, 'temp': 25.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",3.76,12.09,18.04,9.62,11.21,9.64,749619451,47.3,MOD-00629,25.1,2026-08-08T00:32:24,2026-08-07T17:32:24,https://api.quant-aq.com/v1/devices/MOD-00629/data/749619239
834.31,594.97,"{'lat': None, 'lon': None}","{'rh': 47.3, 'temp': 25.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",3.77,12.09,18.33,9.09,17.21,9.17,749619449,47.3,MOD-00629,25.1,2026-08-08T00:31:24,2026-08-07T17:31:24,https://api.quant-aq.com/v1/devices/MOD-00629/data/749619240
834.86,591.59,"{'lat': None, 'lon': None}","{'rh': 47.1, 'temp': 25.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",3.76,12.01,18.4,8.58,9.58,8.66,749619447,47.1,MOD-00629,25.1,2026-08-08T00:30:24,2026-08-07T17:30:24,https://api.quant-aq.com/v1/devices/MOD-00629/data/749619241
831.5,589.91,"{'lat': None, 'lon': None}","{'rh': 47.2, 'temp': 25.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",3.76,12.03,18.07,9.94,10.01,9.97,749617176,47.2,MOD-00629,25.1,2026-08-08T00:29:24,2026-08-07T17:29:24,https://api.quant-aq.com/v1/devices/MOD-00629/data/749616967
834.45,590.39,"{'lat': None, 'lon': None}","{'rh': 47.1, 'temp': 25.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",3.76,12.01,18.69,9.5,9.58,9.54,749617173,47.1,MOD-00629,25.1,2026-08-08T00:28:24,2026-08-07T17:28:24,https://api.quant-aq.com/v1/devices/MOD-00629/data/749616964
