DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,253,32,-1,-14,6,0,0.00000,0.00000,0,CRC
08/05/26 03:58:34,22.00,423.16,6.19,12.70,4.43,423.90,20.20,52.10,33.78,62.49,72.45,0.00,0.00,1,12.74,0.00,40.85,1,-36,27,3,1,STAT,60,LAT,LON,W,ÿÿ,2821176213
08/05/26 03:59:34,22.00,440.46,6.91,11.99,5.81,424.45,20.20,51.50,35.21,66.06,74.29,0.00,0.00,1,12.74,0.00,42.77,1,-37,27,3,1,STAT,60,LAT,LON,W,ÿÿ,3983492667
08/05/26 04:00:34,21.97,444.27,8.51,11.76,5.40,422.89,20.10,51.50,36.33,67.03,74.87,0.00,0.00,1,12.74,0.00,34.20,1,-37,26,3,1,STAT,60,LAT,LON,W,ÿÿ,3854059481
08/05/26 04:01:35,21.92,432.20,7.09,11.79,5.83,420.25,20.00,51.30,35.62,67.00,75.08,0.00,0.00,1,12.74,0.00,33.78,1,-35,28,3,0,STAT,60,LAT,LON,W,ÿÿ,1978299260
08/05/26 04:02:35,21.90,421.52,6.50,12.29,4.99,417.45,20.00,51.40,35.14,65.92,74.02,0.00,0.00,1,12.74,0.00,31.19,1,-33,27,3,0,STAT,60,LAT,LON,W,ÿÿ,2077858313
08/05/26 04:03:35,21.90,418.87,8.31,12.44,5.24,414.81,19.90,51.50,34.33,65.05,73.71,0.00,0.00,1,12.74,0.00,36.05,1,-33,26,4,1,STAT,60,LAT,LON,W,ÿÿ,4187691971
08/05/26 04:04:34,21.85,420.21,7.08,12.40,5.78,413.64,19.90,51.60,35.29,67.60,75.02,0.00,0.00,1,12.74,0.00,35.55,1,-33,26,4,0,STAT,60,LAT,LON,W,ÿÿ,557239149
08/05/26 04:05:34,21.81,426.89,5.63,12.04,5.87,413.22,19.80,51.60,34.72,65.24,74.02,0.00,0.00,1,12.74,0.00,31.45,1,-33,28,4,1,STAT,60,LAT,LON,W,ÿÿ,3191206814
08/05/26 04:06:34,21.80,575.20,7.48,12.06,6.23,412.54,19.80,51.50,34.99,66.34,75.07,0.00,0.00,1,12.74,0.00,32.27,1,-33,26,4,0,STAT,60,LAT,LON,W,ÿÿ,3578564690
08/05/26 04:07:35,21.76,698.01,6.51,12.09,6.64,412.19,19.80,51.80,35.56,67.38,75.56,0.00,0.00,1,12.74,0.00,33.05,1,-33,27,3,1,STAT,60,LAT,LON,W,ÿÿ,3306004952
08/05/26 04:08:35,21.72,762.89,8.05,12.30,5.50,412.42,19.70,51.80,35.61,67.03,75.26,0.00,0.00,1,12.74,0.00,31.40,1,-30,26,3,1,STAT,60,LAT,LON,W,ÿÿ,4041742302
08/05/26 04:09:35,21.70,850.57,7.81,13.19,4.34,413.59,19.80,52.00,35.27,67.79,75.44,0.00,0.00,1,12.74,0.00,36.91,1,-28,26,5,1,STAT,60,LAT,LON,W,ÿÿ,2557838539
08/05/26 04:10:35,21.66,809.86,8.48,13.41,3.79,415.90,19.70,52.00,36.63,69.81,76.69,0.00,0.00,1,12.74,0.00,34.59,1,-30,26,4,1,STAT,60,LAT,LON,W,ÿÿ,199347698
08/05/26 04:11:35,21.62,699.44,8.64,12.82,4.28,417.49,19.80,52.00,34.64,64.75,73.86,0.00,0.00,0,12.74,0.00,22.58,1,-33,26,3,1,STAT,60,LAT,LON,W,ÿÿ,2055566918
08/05/26 04:12:35,21.60,569.20,7.59,12.58,5.97,417.82,19.70,52.00,34.75,64.09,73.49,0.00,0.00,0,12.74,0.00,25.81,1,-33,26,3,1,STAT,60,LAT,LON,W,ÿÿ,3857521673
08/05/26 04:13:35,21.56,501.19,6.82,13.01,5.18,417.39,19.70,52.10,34.57,64.92,73.77,0.00,0.00,0,12.74,0.00,38.71,1,-34,26,3,1,STAT,60,LAT,LON,W,ÿÿ,1364462617
08/05/26 04:14:37,21.52,469.41,7.80,12.93,5.31,417.14,19.70,52.30,34.15,63.87,73.49,0.00,0.00,0,12.74,0.00,22.58,1,-36,25,4,1,STAT,60,LAT,LON,W,ÿÿ,3864397906
08/05/26 04:15:37,21.51,445.21,8.68,12.73,4.79,416.70,19.60,52.20,34.07,64.09,73.79,0.00,0.00,0,12.74,0.00,25.81,1,-35,24,3,1,STAT,60,LAT,LON,W,ÿÿ,4006332477
08/05/26 04:16:37,21.49,443.81,7.54,12.48,6.30,416.09,19.60,52.20,34.18,62.71,72.44,0.00,0.00,0,12.74,0.00,38.71,1,-35,24,3,1,STAT,60,LAT,LON,W,ÿÿ,1115904711
08/05/26 04:17:37,21.44,453.90,9.86,13.34,4.58,415.38,19.60,52.20,34.01,60.89,71.75,0.00,0.00,0,12.74,0.00,25.81,1,-35,24,3,0,STAT,60,LAT,LON,W,ÿÿ,3831982292
08/05/26 04:18:37,21.41,435.71,9.14,12.89,5.22,415.13,19.50,52.30,33.40,61.23,71.92,0.00,0.00,0,12.74,0.00,38.71,1,-33,25,3,1,STAT,60,LAT,LON,W,ÿÿ,1288736299
08/05/26 04:19:37,21.40,420.89,7.64,12.54,5.59,415.05,19.60,52.30,32.74,58.66,70.16,0.00,0.00,0,12.74,0.00,22.58,1,-31,25,3,0,STAT,60,LAT,LON,W,ÿÿ,1721107666
08/05/26 04:20:37,21.37,444.65,8.62,12.52,6.03,415.02,19.60,52.30,32.69,58.72,70.20,0.00,0.00,0,12.74,0.00,22.58,1,-33,24,3,1,STAT,60,LAT,LON,W,ÿÿ,1512350799
08/05/26 04:21:38,21.32,439.24,8.11,12.45,6.81,415.08,19.50,52.10,33.03,58.96,70.82,0.00,0.00,0,12.74,0.00,38.71,1,-33,24,3,1,STAT,60,LAT,LON,W,ÿÿ,2548744292
08/05/26 04:22:38,21.31,422.47,6.34,12.33,6.09,414.06,19.50,52.00,33.05,58.92,70.60,0.00,0.00,0,12.74,0.00,41.94,1,-35,26,3,1,STAT,60,LAT,LON,W,ÿÿ,2555784881
08/05/26 04:23:38,21.30,414.39,8.83,12.38,5.57,412.92,19.50,52.00,33.43,59.51,70.39,0.00,0.00,0,12.74,0.00,22.58,1,-34,23,4,1,STAT,60,LAT,LON,W,ÿÿ,766991325
08/05/26 04:24:37,21.25,411.23,7.92,12.39,5.71,412.09,19.50,52.10,33.48,60.53,71.18,0.00,0.00,0,12.74,0.00,25.81,1,-34,25,3,1,STAT,60,LAT,LON,W,ÿÿ,2068846385
08/05/26 04:25:37,21.22,407.96,7.98,12.25,5.58,411.97,19.50,52.10,33.64,63.25,73.26,0.00,0.00,0,12.74,0.00,22.58,1,-33,24,3,1,STAT,60,LAT,LON,W,ÿÿ,3833922469
08/05/26 04:26:37,21.21,408.51,6.55,12.56,4.77,412.64,19.40,52.20,34.51,63.66,73.01,0.00,0.00,0,12.74,0.00,22.58,1,-33,24,3,1,STAT,60,LAT,LON,W,ÿÿ,3710998112
08/05/26 04:27:37,21.19,412.80,7.09,12.26,6.31,412.87,19.40,52.40,34.53,64.43,73.33,0.00,0.00,0,12.74,0.00,25.81,1,-33,25,3,1,STAT,60,LAT,LON,W,ÿÿ,1768202304
08/05/26 04:28:38,21.13,417.45,8.70,12.76,4.73,412.95,19.40,52.60,34.79,66.64,74.80,0.00,0.00,0,12.74,0.00,38.71,1,-33,24,3,1,STAT,60,LAT,LON,W,ÿÿ,3820951450
08/05/26 04:29:39,21.11,436.48,7.96,13.71,4.02,413.79,19.30,52.80,35.86,68.38,76.19,0.00,0.00,0,12.74,0.00,32.26,1,-33,25,4,1,STAT,60,LAT,LON,W,ÿÿ,197071118
08/05/26 04:30:39,21.10,441.02,8.50,13.30,4.11,415.12,19.30,52.80,35.61,68.07,75.49,0.00,0.00,0,12.74,0.00,38.71,1,-35,24,3,1,STAT,60,LAT,LON,W,ÿÿ,2093824437
08/05/26 04:31:39,21.05,431.63,9.30,13.29,4.97,416.34,19.30,52.90,34.86,67.16,75.45,0.00,0.00,0,12.74,0.00,22.58,1,-36,23,3,1,STAT,60,LAT,LON,W,ÿÿ,1914094885
08/05/26 04:32:39,21.02,430.14,8.55,13.55,4.15,418.31,19.30,53.10,37.08,69.61,76.68,0.00,0.00,0,12.74,0.00,38.71,1,-36,24,3,1,STAT,60,LAT,LON,W,ÿÿ,1099235178
08/05/26 04:33:39,21.01,426.98,6.69,12.53,4.88,420.60,19.30,52.90,36.66,69.20,76.73,0.00,0.00,0,12.74,0.00,22.58,1,-36,24,4,1,STAT,60,LAT,LON,W,ÿÿ,2489838350
08/05/26 04:34:40,20.98,417.50,10.26,12.47,4.47,420.76,19.30,52.60,35.45,66.96,74.82,0.00,0.00,0,12.74,0.00,41.94,1,-35,22,5,1,STAT,60,LAT,LON,W,ÿÿ,1934999181
08/05/26 04:35:41,20.93,415.12,8.60,12.83,4.26,419.05,19.20,52.50,34.44,65.60,74.11,0.00,0.00,0,12.74,0.00,41.94,1,-36,22,4,1,STAT,60,LAT,LON,W,ÿÿ,1002130098
08/05/26 04:36:41,20.91,417.22,8.34,12.63,4.70,418.12,19.20,52.70,35.11,66.18,74.60,0.00,0.00,0,12.74,0.00,22.58,1,-33,23,3,1,STAT,60,LAT,LON,W,ÿÿ,1339412902
08/05/26 04:37:41,20.90,422.32,7.54,12.72,4.79,418.04,19.20,52.70,34.96,65.46,73.97,0.00,0.00,0,12.74,0.00,22.58,1,-34,24,3,0,STAT,60,LAT,LON,W,ÿÿ,1036738620
08/05/26 04:38:42,20.84,418.72,9.09,12.98,5.74,417.79,19.10,52.70,34.48,64.78,73.31,0.00,0.00,0,12.74,0.00,38.71,1,-36,22,3,1,STAT,60,LAT,LON,W,ÿÿ,1718048537
08/05/26 04:39:42,20.82,409.87,8.12,12.87,4.41,416.44,19.10,52.50,34.26,63.31,72.89,0.00,0.00,0,12.74,0.00,22.58,1,-34,23,3,1,STAT,60,LAT,LON,W,ÿÿ,172057098
08/05/26 04:40:36,20.81,406.53,6.61,12.53,5.76,415.55,19.10,52.60,34.66,64.50,73.79,0.00,0.00,0,12.74,0.00,25.81,1,-34,25,4,1,STAT,60,LAT,LON,W,ÿÿ,709872793
08/05/26 04:41:37,20.79,406.94,6.16,12.93,6.17,415.19,19.10,52.80,34.81,63.59,73.73,0.00,0.00,0,12.74,0.00,22.58,1,-34,25,4,1,STAT,60,LAT,LON,W,ÿÿ,3481039851
08/05/26 04:42:37,20.74,412.04,5.18,13.58,4.76,415.23,19.10,53.10,34.75,65.32,74.62,0.00,0.00,0,12.74,0.00,41.94,1,-34,25,3,1,STAT,60,LAT,LON,W,ÿÿ,3425404994
08/05/26 04:43:37,20.72,413.66,7.37,12.73,6.08,416.73,19.10,53.10,34.55,64.63,74.24,0.00,0.00,0,12.74,0.00,38.71,1,-34,23,2,1,STAT,60,LAT,LON,W,ÿÿ,3090850901
08/05/26 04:44:37,20.71,422.09,7.20,12.90,6.05,417.96,19.10,53.10,34.60,65.78,74.57,0.00,0.00,0,12.74,0.00,38.71,1,-35,24,3,1,STAT,60,LAT,LON,W,ÿÿ,114548174
08/05/26 04:45:39,20.70,418.40,8.49,12.97,4.59,418.63,19.10,52.90,34.57,65.73,74.30,0.00,0.00,0,12.74,0.00,22.58,1,-34,23,3,1,STAT,60,LAT,LON,W,ÿÿ,2706184093
08/05/26 04:46:39,20.64,438.84,8.18,12.71,4.67,418.87,19.10,52.80,34.49,65.01,74.63,0.00,0.00,0,12.74,0.00,41.94,1,-35,24,3,1,STAT,60,LAT,LON,W,ÿÿ,2680320998
08/05/26 04:47:39,20.62,428.65,8.18,12.73,4.89,418.95,19.10,52.70,34.79,64.39,73.78,0.00,0.00,0,12.74,0.00,25.81,1,-33,23,3,0,STAT,60,LAT,LON,W,ÿÿ,2982934371
08/05/26 04:48:40,20.61,423.28,8.82,12.61,5.34,418.71,19.10,52.70,34.19,63.18,73.04,0.00,0.00,0,12.74,0.00,41.94,1,-35,23,3,0,STAT,60,LAT,LON,W,ÿÿ,3000953298
