co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
774.37,572.44,"{'lat': None, 'lon': None}","{'rh': 31.4, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",2.39,7.65,23.31,1.23,3.18,1.25,515707841,31.4,MOD-00629,24.9,2025-10-13T00:26:53,2025-10-12T17:26:53,https://api.quant-aq.com/v1/devices/MOD-00629/data/515707694
779.29,576.54,"{'lat': None, 'lon': None}","{'rh': 31.4, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",2.39,8.18,22.79,0.77,0.77,0.77,515707840,31.4,MOD-00629,24.9,2025-10-13T00:25:53,2025-10-12T17:25:53,https://api.quant-aq.com/v1/devices/MOD-00629/data/515707692
774.03,574.13,"{'lat': None, 'lon': None}","{'rh': 31.3, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",2.39,8.64,23.6,1.12,1.31,1.12,515707837,31.3,MOD-00629,24.9,2025-10-13T00:24:53,2025-10-12T17:24:53,https://api.quant-aq.com/v1/devices/MOD-00629/data/515707690
773.2,574.61,"{'lat': None, 'lon': None}","{'rh': 31.3, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",2.39,8.64,23.08,1.1,1.1,1.1,515707839,31.3,MOD-00629,24.9,2025-10-13T00:23:53,2025-10-12T17:23:53,https://api.quant-aq.com/v1/devices/MOD-00629/data/515707691
775.74,570.16,"{'lat': None, 'lon': None}","{'rh': 31.2, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",2.39,8.78,23.64,1.03,1.07,1.07,515707838,31.2,MOD-00629,24.9,2025-10-13T00:22:53,2025-10-12T17:22:53,https://api.quant-aq.com/v1/devices/MOD-00629/data/515707693
773.69,572.32,"{'lat': None, 'lon': None}","{'rh': 31.2, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",2.39,8.71,23.38,1.26,1.4,1.3,515705093,31.2,MOD-00629,24.9,2025-10-13T00:21:53,2025-10-12T17:21:53,https://api.quant-aq.com/v1/devices/MOD-00629/data/515704946
773.28,572.8,"{'lat': None, 'lon': None}","{'rh': 31.2, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",2.39,8.57,23.11,1.09,1.68,1.12,515705091,31.2,MOD-00629,24.9,2025-10-13T00:20:53,2025-10-12T17:20:53,https://api.quant-aq.com/v1/devices/MOD-00629/data/515704944
771.97,576.3,"{'lat': None, 'lon': None}","{'rh': 31.3, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",2.39,8.49,23.34,1.34,1.34,1.34,515705092,31.3,MOD-00629,24.9,2025-10-13T00:19:53,2025-10-12T17:19:53,https://api.quant-aq.com/v1/devices/MOD-00629/data/515704945
771.15,577.38,"{'lat': None, 'lon': None}","{'rh': 31.3, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",2.39,8.56,23.34,1.06,6.04,1.06,515705089,31.3,MOD-00629,24.9,2025-10-13T00:18:53,2025-10-12T17:18:53,https://api.quant-aq.com/v1/devices/MOD-00629/data/515704942
772.38,579.91,"{'lat': None, 'lon': None}","{'rh': 31.3, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13514, 'co2': 13277, 'no': 13602, 'no2': 13783, 'o3': 13761}, 'pm': {'pm1': 13248, 'pm10': 13250, 'pm25': 13249}}",2.39,8.64,23.34,0.79,1.3,0.79,515705090,31.3,MOD-00629,24.9,2025-10-13T00:17:53,2025-10-12T17:17:53,https://api.quant-aq.com/v1/devices/MOD-00629/data/515704943
