DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,200,14,-4,-14,6,0,0.00000,0.00000,0,CRC
09/24/26 03:59:09,15.20,267.24,12.89,14.45,1.56,412.56,14.10,62.40,3.98,6.70,7.13,0.00,0.00,0,12.38,0.00,29.03,1,-9,10,2,0,STAT,60,LAT,LON,W,ÿÿ,1941271128
09/24/26 04:00:09,15.19,238.82,13.53,14.95,0.90,412.84,14.10,62.50,4.03,6.71,7.16,0.00,0.00,0,12.38,0.00,29.03,1,-9,9,2,0,STAT,60,LAT,LON,W,ÿÿ,1293478142
09/24/26 04:01:09,15.15,221.88,12.44,13.98,1.97,412.94,14.10,62.50,4.45,7.37,7.52,0.00,0.00,0,12.35,0.00,25.81,1,-12,9,1,0,STAT,60,LAT,LON,W,ÿÿ,1177824365
09/24/26 04:02:09,15.12,202.98,11.63,13.52,2.27,413.09,14.10,62.50,4.13,6.29,6.33,0.00,0.00,0,12.35,0.00,41.94,1,-9,10,1,0,STAT,60,LAT,LON,W,ÿÿ,75379412
09/24/26 04:03:10,15.11,200.95,11.63,14.54,0.01,413.65,14.10,62.50,4.31,6.77,6.85,0.00,0.00,0,12.35,0.00,29.03,1,-11,10,1,0,STAT,60,LAT,LON,W,ÿÿ,4005881366
09/24/26 04:04:11,15.10,191.55,10.62,14.51,-0.20,413.88,14.10,62.50,4.34,7.74,8.14,0.00,0.00,0,12.35,0.00,25.81,1,-10,11,1,0,STAT,60,LAT,LON,W,ÿÿ,3910618629
09/24/26 04:05:11,15.10,187.28,10.40,14.10,1.61,413.96,14.10,62.50,4.44,7.83,8.35,0.00,0.00,0,12.35,0.00,25.81,1,-9,10,1,0,STAT,60,LAT,LON,W,ÿÿ,1080057773
09/24/26 04:06:11,15.10,189.40,9.37,13.87,2.52,413.98,14.10,62.60,4.44,7.43,8.50,0.00,0.00,0,12.35,0.00,41.94,1,-10,11,1,0,STAT,60,LAT,LON,W,ÿÿ,2166039448
09/24/26 04:07:11,15.08,195.36,10.91,14.30,1.69,414.15,14.10,62.60,6.39,11.62,13.11,0.00,0.00,0,12.35,0.00,29.03,1,-12,10,1,0,STAT,60,LAT,LON,W,ÿÿ,2494467191
09/24/26 04:08:11,15.04,204.67,11.01,13.50,2.34,414.70,14.00,62.60,8.86,20.08,23.14,0.00,0.00,0,12.35,0.00,22.58,1,-10,11,0,0,STAT,60,LAT,LON,W,ÿÿ,2741875738
09/24/26 04:09:12,15.01,315.38,12.58,14.35,2.41,415.25,14.00,62.50,6.71,13.74,15.28,0.00,0.00,0,12.35,0.00,25.81,1,-10,10,1,0,STAT,60,LAT,LON,W,ÿÿ,2907412407
09/24/26 04:10:12,15.01,314.34,12.42,15.31,-0.35,415.82,14.00,62.60,5.11,8.78,9.83,0.00,0.00,0,12.35,0.00,29.03,1,-11,10,2,0,STAT,60,LAT,LON,W,ÿÿ,1865053907
09/24/26 04:11:12,15.00,252.65,12.79,14.56,-0.14,416.04,14.00,62.60,5.17,8.51,9.99,0.00,0.00,0,12.35,0.00,22.58,1,-9,9,1,0,STAT,60,LAT,LON,W,ÿÿ,2240264577
09/24/26 04:12:12,15.00,230.18,13.07,13.92,1.99,415.66,14.00,62.70,4.42,7.16,7.86,0.00,0.00,0,12.35,0.00,38.71,1,-10,10,1,0,STAT,60,LAT,LON,W,ÿÿ,441551633
