co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
724.68,536.5,"{'lat': None, 'lon': None}","{'rh': 23.4, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13510, 'co2': 13273, 'no': 13598, 'no2': 13779, 'o3': 13757}, 'pm': {'pm1': 13236, 'pm10': 13238, 'pm25': 13237}}",2.19,5.5,29.98,4.95,8.96,5.49,355642262,23.4,MOD-00625,26.2,2025-04-05T20:18:34,2025-04-05T13:18:34,https://api.quant-aq.com/v1/devices/MOD-00625/data/355642164
722.27,535.9,"{'lat': None, 'lon': None}","{'rh': 23.9, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13510, 'co2': 13273, 'no': 13598, 'no2': 13779, 'o3': 13757}, 'pm': {'pm1': 13236, 'pm10': 13238, 'pm25': 13237}}",2.19,6.14,31.79,4.49,7.24,5.12,355642263,23.9,MOD-00625,26.2,2025-04-05T20:17:34,2025-04-05T13:17:34,https://api.quant-aq.com/v1/devices/MOD-00625/data/355642165
722.36,538.07,"{'lat': None, 'lon': None}","{'rh': 23.2, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13510, 'co2': 13273, 'no': 13598, 'no2': 13779, 'o3': 13757}, 'pm': {'pm1': 13236, 'pm10': 13238, 'pm25': 13237}}",2.19,4.21,32.25,4.71,8.04,5.2,355642261,23.2,MOD-00625,26.2,2025-04-05T20:16:34,2025-04-05T13:16:34,https://api.quant-aq.com/v1/devices/MOD-00625/data/355642163
734.6,539.15,"{'lat': None, 'lon': None}","{'rh': 23.3, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13510, 'co2': 13273, 'no': 13598, 'no2': 13779, 'o3': 13757}, 'pm': {'pm1': 13236, 'pm10': 13238, 'pm25': 13237}}",2.19,4.4,31.73,4.98,6.51,5.63,355642260,23.3,MOD-00625,26.2,2025-04-05T20:15:34,2025-04-05T13:15:34,https://api.quant-aq.com/v1/devices/MOD-00625/data/355642162
753.97,540.96,"{'lat': None, 'lon': None}","{'rh': 24.2, 'temp': 26.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13510, 'co2': 13273, 'no': 13598, 'no2': 13779, 'o3': 13757}, 'pm': {'pm1': 13236, 'pm10': 13238, 'pm25': 13237}}",2.18,6.22,28.72,5.44,15.76,5.97,355639958,24.2,MOD-00625,26.1,2025-04-05T20:14:34,2025-04-05T13:14:34,https://api.quant-aq.com/v1/devices/MOD-00625/data/355639860
755.41,542.4,"{'lat': None, 'lon': None}","{'rh': 24.9, 'temp': 26.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13510, 'co2': 13273, 'no': 13598, 'no2': 13779, 'o3': 13757}, 'pm': {'pm1': 13236, 'pm10': 13238, 'pm25': 13237}}",2.03,4.83,27.72,5.32,13.4,6.26,355639957,24.9,MOD-00625,26.0,2025-04-05T20:13:34,2025-04-05T13:13:34,https://api.quant-aq.com/v1/devices/MOD-00625/data/355639859
750.4,539.75,"{'lat': None, 'lon': None}","{'rh': 26.6, 'temp': 25.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13510, 'co2': 13273, 'no': 13598, 'no2': 13779, 'o3': 13757}, 'pm': {'pm1': 13236, 'pm10': 13238, 'pm25': 13237}}",1.89,3.8,28.14,4.96,22.19,5.46,355639956,26.6,MOD-00625,25.9,2025-04-05T20:12:34,2025-04-05T13:12:34,https://api.quant-aq.com/v1/devices/MOD-00625/data/355639858
745.3,540.12,"{'lat': None, 'lon': None}","{'rh': 25.7, 'temp': 25.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13510, 'co2': 13273, 'no': 13598, 'no2': 13779, 'o3': 13757}, 'pm': {'pm1': 13236, 'pm10': 13238, 'pm25': 13237}}",2.02,3.4,30.43,5.03,8.51,5.77,355639959,25.7,MOD-00625,25.9,2025-04-05T20:11:34,2025-04-05T13:11:34,https://api.quant-aq.com/v1/devices/MOD-00625/data/355639861
745.95,544.21,"{'lat': None, 'lon': None}","{'rh': 25.2, 'temp': 25.8, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13510, 'co2': 13273, 'no': 13598, 'no2': 13779, 'o3': 13757}, 'pm': {'pm1': 13236, 'pm10': 13238, 'pm25': 13237}}",2.02,3.03,30.31,5.01,14.88,5.86,355637629,25.2,MOD-00625,25.8,2025-04-05T20:10:34,2025-04-05T13:10:34,https://api.quant-aq.com/v1/devices/MOD-00625/data/355637531
747.47,539.88,"{'lat': None, 'lon': None}","{'rh': 25.8, 'temp': 25.7, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13510, 'co2': 13273, 'no': 13598, 'no2': 13779, 'o3': 13757}, 'pm': {'pm1': 13236, 'pm10': 13238, 'pm25': 13237}}",1.9,3.56,30.6,5.84,17.14,6.39,355637627,25.8,MOD-00625,25.7,2025-04-05T20:09:34,2025-04-05T13:09:34,https://api.quant-aq.com/v1/devices/MOD-00625/data/355637529
