co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
1327.34,1023.01,"{'lat': None, 'lon': None}","{'rh': 39.3, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",3.33,6.7,23.51,12.32,13.14,12.43,764388988,39.3,MOD-00614,26.2,2026-08-26T00:04:13,2026-08-25T17:04:13,https://api.quant-aq.com/v1/devices/MOD-00614/data/764388779
1305.3,994.94,"{'lat': None, 'lon': None}","{'rh': 39.7, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",3.3,8.86,23.38,13.4,14.05,13.53,764388989,39.7,MOD-00614,26.2,2026-08-26T00:03:13,2026-08-25T17:03:13,https://api.quant-aq.com/v1/devices/MOD-00614/data/764388778
1303.59,982.66,"{'lat': None, 'lon': None}","{'rh': 39.8, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",3.3,8.07,23.9,13.5,14.14,13.55,764388990,39.8,MOD-00614,26.2,2026-08-26T00:02:13,2026-08-25T17:02:13,https://api.quant-aq.com/v1/devices/MOD-00614/data/764388780
1290.38,980.37,"{'lat': None, 'lon': None}","{'rh': 39.9, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",4.04,8.99,23.32,14.02,18.78,14.15,764388991,39.9,MOD-00614,26.2,2026-08-26T00:01:13,2026-08-25T17:01:13,https://api.quant-aq.com/v1/devices/MOD-00614/data/764388781
1298.45,980.25,"{'lat': None, 'lon': None}","{'rh': 40.1, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",4.09,11.56,24.35,13.01,13.07,13.07,764386652,40.1,MOD-00614,26.2,2026-08-26T00:00:13,2026-08-25T17:00:13,https://api.quant-aq.com/v1/devices/MOD-00614/data/764386442
