flag,gases.co.ae,gases.co.diff,gases.co.we,gases.co2.raw,gases.no.ae,gases.no.diff,gases.no.we,gases.no2.ae,gases.no2.diff,gases.no2.we,gases.o3.ae,gases.o3.diff,gases.o3.we,geo.lat,geo.lon,met.rh,met.temp,met.wd,met.ws,met.ws_scalar,neph.cscat,neph.pm1,neph.pm10,neph.pm25,opc.bin0,opc.bin1,opc.bin10,opc.bin11,opc.bin12,opc.bin13,opc.bin14,opc.bin15,opc.bin16,opc.bin17,opc.bin18,opc.bin19,opc.bin2,opc.bin20,opc.bin21,opc.bin22,opc.bin23,opc.bin3,opc.bin4,opc.bin5,opc.bin6,opc.bin7,opc.bin8,opc.bin9,opc.pm1,opc.pm10,opc.pm25,opc.rh,opc.temp,operating_state,sn,timestamp,timestamp_local,url
0,653.6,31.399999999999977,685.0,1241.2,664.3,1.3000000000000682,665.6,1646.1,1.1000000000001364,1647.2,1646.3,8.899999999999864,1656.1,,,60.5,11.0,0.0,0.0,0.0,338.25,1.3,2.2,1.9,4.0609,0.5001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3713,0.0,0.0,0.0,0.0,0.1412,0.1614,0.1209,0.055,0.0083,0.0164,0.0166,1.2,12.89,4.36,42.39,16.8,0,MOD-00632,2025-04-21T07:32:34,2025-04-21T00:32:34,https://api.quant-aq.com/v1/devices/MOD-00632/data/raw/368595034
0,653.5,31.799999999999955,685.3,1235.7,665.3,1.5,666.8,1645.9,1.3999999999998636,1647.3,1646.5,8.799999999999955,1656.1,,,60.8,11.0,0.0,0.0,0.0,336.25,1.1,1.9,1.6,4.4955,0.4921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3936,0.0,0.0,0.0,0.0,0.1148,0.2073,0.1805,0.0803,0.0169,0.0249,0.0,1.31,12.02,5.6,42.46,16.77,0,MOD-00632,2025-04-21T07:31:34,2025-04-21T00:31:34,https://api.quant-aq.com/v1/devices/MOD-00632/data/raw/368595037
0,654.6,30.899999999999977,685.5,1239.8,664.3,1.5,665.8,1646.1,1.400000000000091,1647.5,1646.5,8.700000000000045,1656.2,,,61.0,11.0,0.0,0.0,0.0,333.5,1.0,2.4,1.9,4.255,0.6015,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3795,0.0,0.0,0.0,0.0,0.1258,0.1642,0.189,0.0416,0.0334,0.0335,0.0,1.28,15.68,5.27,42.59,16.8,0,MOD-00632,2025-04-21T07:30:34,2025-04-21T00:30:34,https://api.quant-aq.com/v1/devices/MOD-00632/data/raw/368595035
0,653.5,32.299999999999955,685.8,1234.7,664.7,1.2999999999999545,666.0,1646.1,1.400000000000091,1647.5,1646.6,8.799999999999955,1656.3,,,61.0,11.0,0.0,0.0,0.0,304.5,0.8,2.2,1.7,4.4956,0.5687,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3937,0.0,0.0,0.0,0.0,0.1262,0.154,0.125,0.0605,0.0283,0.008,0.0041,1.26,11.61,4.62,42.64,16.83,0,MOD-00632,2025-04-21T07:29:34,2025-04-21T00:29:34,https://api.quant-aq.com/v1/devices/MOD-00632/data/raw/368595036
0,652.9,33.200000000000045,686.1,1239.8,664.5,1.2999999999999545,665.8,1646.0,1.5,1647.5,1646.7,8.799999999999955,1656.3,,,61.1,11.0,0.0,0.0,0.0,300.75,1.0,1.3,1.3,4.2652,0.5997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3702,0.0,0.0,0.0,0.0,0.1531,0.1936,0.1209,0.0561,0.0242,0.004,0.004,1.29,9.06,4.65,42.65,16.82,0,MOD-00632,2025-04-21T07:28:34,2025-04-21T00:28:34,https://api.quant-aq.com/v1/devices/MOD-00632/data/raw/368592669
0,654.8,31.0,685.8,1240.0,664.4,1.3999999999999773,665.8,1646.0,1.599999999999909,1647.6,1646.5,8.800000000000182,1656.4,,,61.2,11.0,0.0,0.0,0.0,263.0,0.8,1.5,1.4,4.2735,0.6971,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4247,0.0,0.0,0.0,0.0,0.1557,0.1394,0.1349,0.0437,0.0203,0.008,0.012,1.31,12.85,4.46,42.69,16.8,0,MOD-00632,2025-04-21T07:27:34,2025-04-21T00:27:34,https://api.quant-aq.com/v1/devices/MOD-00632/data/raw/368592668
0,654.3,32.0,686.3,1241.2,664.7,1.1999999999999318,665.9,1646.0,1.7000000000000455,1647.7,1646.6,8.799999999999955,1656.5,,,61.2,11.0,0.0,0.0,0.0,406.75,1.3,2.8,2.4,4.2386,0.6841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3908,0.0,0.0,0.0,0.0,0.163,0.228,0.1454,0.0417,0.0123,0.0167,0.0042,1.37,10.32,4.89,42.63,16.82,0,MOD-00632,2025-04-21T07:26:34,2025-04-21T00:26:34,https://api.quant-aq.com/v1/devices/MOD-00632/data/raw/368592670
0,654.0,32.60000000000002,686.6,1239.8,664.7,1.2999999999999545,666.0,1646.2,1.5,1647.7,1646.5,8.700000000000045,1656.4,,,61.1,11.0,0.0,0.0,0.0,361.0,1.0,2.7,1.5,4.8044,0.6612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448,0.0,0.0,0.0,0.0,0.1697,0.1608,0.1176,0.0524,0.0263,0.0133,0.0042,1.4,10.47,4.72,42.61,16.82,0,MOD-00632,2025-04-21T07:25:34,2025-04-21T00:25:34,https://api.quant-aq.com/v1/devices/MOD-00632/data/raw/368592667
0,654.6,33.60000000000002,688.2,1240.4,665.2,1.1999999999999318,666.4,1646.2,1.5,1647.7,1646.6,8.599999999999909,1656.3,,,60.9,11.0,0.0,0.0,0.0,273.25,0.8,1.6,1.2,4.0812,0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3824,0.0,0.0,0.0,0.0,0.0795,0.2187,0.1592,0.0671,0.0084,0.0292,0.0,1.22,11.32,5.06,42.45,16.79,0,MOD-00632,2025-04-21T07:24:34,2025-04-21T00:24:34,https://api.quant-aq.com/v1/devices/MOD-00632/data/raw/368590293
0,654.5,33.700000000000045,688.2,1239.4,664.2,1.099999999999909,665.3,1646.2,1.5,1647.7,1646.6,8.700000000000045,1656.4,,,60.7,11.0,0.0,0.0,0.0,293.75,0.8,2.5,1.4,4.5349,0.4431,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3074,0.0,0.0,0.0,0.0,0.1174,0.2412,0.1139,0.0379,0.0171,0.0124,0.0,1.23,10.01,4.39,42.35,16.82,0,MOD-00632,2025-04-21T07:23:34,2025-04-21T00:23:34,https://api.quant-aq.com/v1/devices/MOD-00632/data/raw/368590292
