"Pollutant","Model","Bias","r","R2","RMSE","MAE","CvMAE"
"CO","Regression",0.0386036153236077,0.845331086772675,0.714584646264271,0.138859429758326,0.0690266899300457,0.320807055424252
"CO","RandomForest",0.0141579181471831,0.617599631792308,0.381429305189994,0.205177673651136,0.0312930062045136,0.14543674607629
"CO","Hybrid",0.00190063424544795,0.912864045817062,0.833320766145495,0.111315936795426,0.0281664374117157,0.130905767855904
"NO","Regression",2.11188416063835,0.955998962971142,0.913934017201898,0.997721909247703,0.750856708366392,0.173338280238851
"NO","RandomForest",2.01200976392867,0.979520783061282,0.959460964448987,0.792106023879605,0.479596666756257,0.11071681253895
"NO","Hybrid",2.11735911206577,0.979481910994807,0.959384813966038,0.793484082521065,0.481500377594925,0.111156291815315
"NO2","Regression",1.09813174944344,0.97982008219129,0.960047393465347,0.792053856313113,0.617043030580784,0.0371446579668731
"NO2","RandomForest",0.283617141234021,0.98625987767584,0.972708546313162,0.657994008069881,0.497858292985272,0.0299699941372049
"NO2","Hybrid",0.28021948712097,0.985560621962575,0.971329739563257,0.680445035940506,0.517708598996623,0.0311649396933283
"O3","Regression",0.0080785891109546,0.485042794509676,0.235266512505756,0.0453267739213336,0.0356860831648811,0.115241349038552
"O3","RandomForest",-0.00129620667875741,0.480458105967246,0.230839991589634,0.0456380808880525,0.0360123258646345,0.116294887154794
"O3","Hybrid",-0.00134713436686562,0.478829963839092,0.229278134270146,0.0457200626830305,0.0361064525447253,0.116598851183126
"CO2","Regression",7.45513615120547,0.955676909833607,0.913318355989112,8.63848528862772,5.86883821189841,0.0133118660275958
"CO2","RandomForest",6.03853847887007,0.985395801756926,0.971004886120175,4.94509088310095,2.79488365338948,0.00633943472512311
"CO2","Hybrid",6.39452059397223,0.980976324560882,0.962314549348977,5.64907291940121,3.01707494438356,0.00684341534128921
"PM2_5","Regression",0.00019774996317028,0.246714919082365,0.0608682512978181,0.00334943208356948,0.000787682215517877,0.75824770755256
"PM2_5","RandomForest",0.000400887642709488,0.909990651463598,0.828082985751144,0.00154119478710236,0.000354511432476735,0.341263869719245
"PM2_5","Hybrid",0.000194803479325653,0.529886767774859,0.280779986662887,0.00306701472232375,0.00047617623990884,0.458382245007894
"PM10","Regression",0.00135393176850376,0.246165966877253,0.0605976832486129,0.0253353927847469,0.0065253015278199,1.13637394097944
"PM10","RandomForest",0.00285599157951866,0.923974275699767,0.85372846215491,0.0104204540434506,0.00332046937137256,0.578256016118357
"PM10","Hybrid",0.000242116211609415,0.506335971653971,0.256376116190771,0.0236488790702672,0.00420858419724325,0.732920216755555
