DATE,CO,NO,NO2,O3,CO2,PM2.5,AQHI,NO2_contrib,O3_contrib,PM2_5_contrib,Top_AQHI_contributor
2026-03-08 20:58:00,0.14950668887209997,0.9236522222008657,11.261656444438826,37.377097555322024,441.7231457970861,2.1828507178383934,,,,,
2026-03-08 21:13:00,0.1496661110938666,1.3172357776986996,11.801403333149063,36.963988444187336,441.77262457749254,2.1873674359345516,,,,,
2026-03-08 21:28:00,0.15262897776429993,1.285214888824068,10.71854422215583,36.55040999959235,442.16106234983914,3.3443798367679918,,,,,
2026-03-08 21:43:00,0.21109680740806677,2.0466835555458687,13.737330666528967,29.079903778126,441.4053139626867,5.779061506307522,,,,,
2026-03-08 21:58:00,0.20459754810696654,2.317324222234864,14.50837800030774,28.23428200003541,440.86654218330636,5.22090592399167,,,,,
2026-03-08 22:13:00,0.17698481479183353,3.4783406666233643,12.834615999946429,28.923790889325755,442.25770284969656,4.335065088361756,,,,,
2026-03-08 22:28:00,0.1570352296098666,2.0826355555307323,11.678172222107209,32.222189333152365,442.69687146952623,2.800570195474174,,,,,
2026-03-08 22:43:00,0.17020181879300003,2.3410875555258013,12.000075777656066,29.25213266702739,442.1337655772162,2.9740611079390065,,,,,
2026-03-08 22:58:00,0.15568357772430022,1.974719111072632,14.27373266671652,29.238331999949686,441.2825069661429,2.2388317096593107,,,,,
2026-03-08 23:13:00,0.1570255258775002,1.4995079999501024,11.921522221989994,31.635155555752696,444.2913264699528,2.396967913075605,,,,,
2026-03-08 23:28:00,0.14976201478693332,3.508990222147098,10.854177111114467,35.17089711102563,442.61609996003625,2.094083086804848,,,,,
2026-03-08 23:43:00,0.15431857030993348,1.516988666600665,11.480607555471497,35.688963999573964,444.0470717636527,2.00738676488898,3,0.3591877339012114,0.5897544962491088,0.05105776984967985,O3
2026-03-08 23:58:00,0.1549482888382001,3.384251111074399,12.096623777617168,33.73831666720465,444.26611907314623,1.975044061384975,3,0.36260785350217056,0.5864245100041594,0.050967636493670046,O3
2026-03-09 00:13:00,0.15479944439043347,3.4764599999360644,11.98549599994314,33.644423111600666,444.5962416549262,1.9855543032423875,3,0.3648490828376067,0.5842092801763802,0.0509416369860131,O3
2026-03-09 00:28:00,0.14490760740383332,3.223989555487066,5.931137777754763,37.32668111089368,442.2076873058658,2.1874417678677576,3,0.3573708760014445,0.5926628882886567,0.04996623570989881,O3
2026-03-09 00:43:00,0.15475699253903355,1.467172444378533,11.619778888825769,32.50736399989967,444.2835684483628,2.101618864790615,3,0.3538613902321718,0.6010513975531019,0.04508721221472632,O3
2026-03-09 00:58:00,0.15724619995726674,1.9353228888411975,14.832806222401288,25.486335777976052,440.5586812215231,3.1326312721884633,3,0.356961882171131,0.6005946379281243,0.04244347990074473,O3
2026-03-09 01:13:00,0.1725222780778667,3.4918511110624983,15.708994222546073,22.609318889040296,440.8107017718531,2.224027377584364,3,0.3663076180190088,0.5939916705247277,0.039700711456263506,O3
2026-03-09 01:28:00,0.15890998515260005,3.649430444388462,15.676075111524925,24.667960666553206,441.237064887817,2.220150018504032,3,0.3774774110437983,0.5835414483423128,0.03898114061388893,O3
2026-03-09 01:43:00,0.20320081479979996,3.2966871110852627,15.477309333711109,20.58726822250579,442.3438979926072,5.530879783311534,3,0.3868459564212487,0.5704991536673384,0.04265488991141299,O3
2026-03-09 01:58:00,0.1658303595710333,3.664868888822362,14.972003556042246,24.016593555493547,441.74780235815035,3.1282937965020228,3,0.39068106292805227,0.5651713140443343,0.04414762302761345,O3
2026-03-09 02:13:00,0.1565886296021335,3.433102888838831,13.939194000378695,25.15625644448496,441.40828755356694,1.8388263969304808,3,0.3982406557236988,0.5581486554764774,0.04361068879982374,O3
2026-03-09 02:28:00,0.15624137034396685,3.567457111037129,13.305777333751694,25.277073111147292,441.4396859320235,1.9278666795033552,3,0.40857955776046806,0.5476207809747613,0.043799661264770626,O3
2026-03-09 02:43:00,0.15585779256506688,2.7410197777496994,13.066484000417432,23.728628666739933,441.18265007047347,1.825147091018908,3,0.41921905415946925,0.5365607269653083,0.04422021887522243,O3
2026-03-09 02:58:00,0.1549140370048669,3.4376051110367634,12.133006222587774,23.73967355553993,441.7433889271101,1.7873574726372221,3,0.4264005246456499,0.5289128833149105,0.04468659203943958,O3
2026-03-09 03:13:00,0.15611300738220027,3.748175111012628,12.553773556165858,27.51900533359832,441.505645745063,1.6416205990263792,3,0.43191630312418733,0.5235008342432039,0.04458286263260877,O3
2026-03-09 03:28:00,0.1537808740469335,3.3981833332576303,10.985376666952474,25.264565333325294,442.1495252110072,1.6220665649890575,3,0.44902995632830306,0.5069149906823007,0.04405505298939622,O3
2026-03-09 03:43:00,0.15336007405513347,2.991154888843465,10.360525777990945,25.106402444434288,441.17687362966706,1.6139947233159597,3,0.45316634019179886,0.5027816160518062,0.04405204375639495,O3
